id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
14048.0,en,Man on Wire,9.314,2008-07-25,7.5,667.0,['Documentary'],"On August 7th 1974, French tightrope walker Philippe Petit stepped out on a high wire, illegally rigged between New York's World Trade Center twin towers, then the world's tallest buildings. After nearly an hour of performing on the wire, 1,350 feet above the sidewalks of Manhattan, he was arrested. This fun and spellbinding documentary chronicles Philippe Petit's ""highest"" achievement.",2957978.0,94.0,1974. 1350 feet up. The artistic crime of the century.
612706.0,en,Work It,15.947,2020-08-07,7.7,933.0,"['Comedy', 'Music']",A brilliant but clumsy high school senior vows to get into her late father's alma mater by transforming herself and a misfit squad into dance champions.,0.0,93.0,Dance to your own beat.
431072.0,en,Step Sisters,12.19,2018-01-19,6.5,397.0,['Comedy'],"Jamilah has her whole life figured out. She's the president of her black sorority, captain of their champion step dance crew, is student liaison to the college dean, and her next move is on to Harvard Law School. She's got it all, right? But when the hard-partying white girls from Sigma Beta Beta embarrass the school, Jamilah is ordered to come to the rescue. Her mission is to not only teach the rhythmically-challenged girls how to step dance, but to win the Steptacular, the most competitive of dance competitions. With the SBBs reputations and charter on the line, and Jamilah's dream of attending Harvard in jeopardy, these outcast screw-ups and their unlikely teacher stumble through one hilarious misstep after another. Cultures clash, romance blossoms, and sisterhood prevails as everyone steps out of their comfort zones.",0.0,104.0,Stomp it like it's hot
230652.0,en,Pirates of the Caribbean: Tales of the Code – Wedlocked,9.715,2011-10-18,7.0,46.0,"['Adventure', 'Action', 'Fantasy']","Wenches Scarlett and Giselle fix each other up for their wedding, in which they would each marry their groom. Upon realizing that both their grooms were the same man, Jack Sparrow, the two wenches found themselves in an auction led by the Auctioneer. This short film serves as a prequel to The Curse of the Black Pearl, and explains just why Jack Sparrow's boat the Jolly Mon was seen sinking at the beginning of the whole story; why the wenches were so upset with him; and how Cotton lost his tongue.",0.0,10.0,That scoundrel! Thinks he can marry the both of us!
70868.0,en,I Don't Know How She Does It,20.941,2011-09-16,5.2,312.0,"['Romance', 'Comedy']","A comedy centered on the life of Kate Reddy, a finance executive who is the breadwinner for her husband and two kids.",31410151.0,89.0,"If it were easy, men would do it too."
12163.0,en,The Wrestler,17.668,2008-09-07,7.5,2756.0,"['Drama', 'Romance']","Aging wrestler Randy ""The Ram"" Robinson is long past his prime but still ready and rarin' to go on the pro-wrestling circuit. After a particularly brutal beating, however, Randy hangs up his tights, pursues a serious relationship with a long-in-the-tooth stripper, and tries to reconnect with his estranged daughter. But he can't resist the lure of the ring and readies himself for a comeback.",44703995.0,109.0,Love. Pain. Glory.
9779.0,en,The Sisterhood of the Traveling Pants,10.076,2005-06-01,6.5,1091.0,"['Drama', 'Comedy']","Four best friends (Tibby, Lena, Carmen &amp; Bridget) who buy a mysterious pair of pants that fits each of them, despite their differing sizes, and makes whoever wears them feel fabulous. When faced with the prospect of spending their first summer apart, the pals decide they'll swap the pants so that each girl in turn can enjoy the magic.",39053061.0,119.0,Laugh. Cry. Share the pants.
6538.0,en,Charlie Wilson's War,14.221,2007-12-19,6.6,1081.0,"['Comedy', 'Drama', 'History']","The true story of Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets had some unforeseen and long-reaching effects.",119000410.0,102.0,Based on a true story. You think we could make all this up?
52629.0,es,El Infierno,40.26,2010-09-03,7.8,370.0,"['Drama', 'Crime', 'Comedy']","Benjamin Garcia, Benny is deported from the United States. Back home and against a bleak picture, Benny gets involved in the drug business, in which he has for the first time in his life, a spectacular rise surrounded by money, women, violence and fun. But very soon he will discover that criminal life does not always keep its promises.",0.0,145.0,"Mexico 2010, Hell... nothing to celebrate"
342571.0,es,Una última y nos vamos,9.366,2015-05-29,7.9,55.0,"['Family', 'Comedy', 'Adventure']",A group of mariachis receives a letter to be part of the National Mariachi Contest in Mexico City. In order to be able to win they will need to travel together and solve their differences since their prime was 30 years ago.,0.0,111.0,"You don't have to come first, but you should know how to get there."
